Planta,Polinizadores,Predadores
1,31,Ausente
2,28,Ausente
3,30,Ausente
4,32,Ausente
5,31,Ausente
6,33,Ausente
7,31,Ausente
8,33,Ausente
9,29,Ausente
10,27,Ausente
11,33,Ausente
12,30,Ausente
13,27,Ausente
14,31,Ausente
15,32,Ausente
16,30,Ausente
17,35,Ausente
18,30,Ausente
19,30,Ausente
20,32,Ausente
1,28,Presente
2,27,Presente
3,31,Presente
4,33,Presente
5,25,Presente
6,30,Presente
7,25,Presente
8,30,Presente
9,28,Presente
10,27,Presente
11,32,Presente
12,30,Presente
13,26,Presente
14,33,Presente
15,33,Presente
16,26,Presente
17,36,Presente
18,30,Presente
19,27,Presente
20,27,Presente
