Abundancia,Area_fragmento ,Altitude
39,194,4004
41,360,3552
41,918,3136.5
42,0,3100
42,0,2800
42,292,2600
42,384,2500
42,464,2450
43,0,2500
43,70,2600
43,801,2452
45,0,2800
45,44,2600
45,88,330
45,477,1788.75
45,1500,2500
46,0,1863
46,122,2000
46,170,1463
46,228,1865
46,540,2070
47,0,1425
47,52,1563
47,165,2500
47,522,2044.5
48,60,2000
48,756,1582
49,0,1800
49,80,1500
50,0,900
50,164,683.33
51,0,852
51,196,833
51,288,1224
51,435,1000
52,93,803
52,166,719.33
53,156,689
54,0,500
54,74,333
54,78,351
54,464,350
54,498,358
55,0,300
55,27,124
55,138,120
55,776,100
56,192,80
57,50,50
58,0,0
58,300,0
59,140,0
60,192,0
62,255,0
63,44,0
70,0,0
