Abundancia,Domacea,Idade
23,Aberta,Nova
22,Aberta,Nova
19,Aberta,Nova
30,Aberta,Nova
26,Aberta,Nova
36,Aberta,Nova
30,Aberta,Nova
30,Aberta,Nova
27,Aberta,Nova
26,Aberta,Nova
17,Aberta,Velha
21,Aberta,Velha
32,Aberta,Velha
23,Aberta,Velha
23,Aberta,Velha
32,Aberta,Velha
26,Aberta,Velha
32,Aberta,Velha
22,Aberta,Velha
34,Aberta,Velha
25,Fechada,Nova
22,Fechada,Nova
23,Fechada,Nova
27,Fechada,Nova
25,Fechada,Nova
18,Fechada,Nova
19,Fechada,Nova
30,Fechada,Nova
31,Fechada,Nova
20,Fechada,Nova
12,Fechada,Velha
1,Fechada,Velha
3,Fechada,Velha
13,Fechada,Velha
17,Fechada,Velha
7,Fechada,Velha
15,Fechada,Velha
16,Fechada,Velha
3,Fechada,Velha
11,Fechada,Velha
