Tempo;Pessoas;Idade
18.952;XX;Jovem
16.513;XX;Jovem
17.981;XX;Jovem
21.371;XX;Jovem
14.470;XX;Jovem
19.130;XX;Jovem
18.341;XX;Jovem
21.460;XX;Jovem
18.532;XX;Jovem
20.377;XX;Jovem
30.032;XX;Idoso
31.221;XX;Idoso
33.719;XX;Idoso
33.713;XX;Idoso
30.019;XX;Idoso
29.010;XX;Idoso
27.692;XX;Idoso
33.004;XX;Idoso
30.163;XX;Idoso
30.633;XX;Idoso
29.092;XY;Jovem
25.331;XY;Jovem
22.874;XY;Jovem
25.369;XY;Jovem
26.125;XY;Jovem
27.607;XY;Jovem
28.050;XY;Jovem
25.512;XY;Jovem
27.684;XY;Jovem
27.236;XY;Jovem
37.378;XY;Idoso
43.070;XY;Idoso
42.281;XY;Idoso
37.187;XY;Idoso
41.086;XY;Idoso
38.526;XY;Idoso
40.879;XY;Idoso
41.508;XY;Idoso
38.686;XY;Idoso
40.171;XY;Idoso
