Crescimento;Tratamento
7.19;Controle
6.758;Controle
6.101;Controle
4.758;Controle
6.542;Controle
7.667;Controle
4.956;Controle
9.191;Controle
5.598;Controle
7.513;Controle
2.696;Controle
6.661;Controle
12.964;Adubo_Tradicional
12.807;Adubo_Tradicional
12.911;Adubo_Tradicional
13.381;Adubo_Tradicional
15.145;Adubo_Tradicional
13.198;Adubo_Tradicional
13.227;Adubo_Tradicional
11.816;Adubo_Tradicional
9.258;Adubo_Tradicional
13.58;Adubo_Tradicional
13.625;Adubo_Tradicional
11.685;Adubo_Tradicional
10.099;Adubo_X-2020
14.226;Adubo_X-2020
14.273;Adubo_X-2020
11.941;Adubo_X-2020
11.506;Adubo_X-2020
13.276;Adubo_X-2020
13.317;Adubo_X-2020
13.916;Adubo_X-2020
11.818;Adubo_X-2020
12.961;Adubo_X-2020
12.5;Adubo_X-2020
14.363;Adubo_X-2020
