Animal;Treatment;Time;Sex;Darkness;Redness
1;CT;0h;M;56,41568627;131,17
1;CT;1h;M;49,5254902;133,3
1;CT;2h;M;54,94117647;132,69
1;CT;3h;M;42,18823529;135,37
2;CT;0h;M;58,93333333;133,35
2;CT;1h;M;52,45490196;133,65
2;CT;2h;M;56,42745098;131,65
2;CT;3h;M;66,17254902;122,8
3;CT;0h;M;58,34901961;132,72
3;CT;1h;M;57,8;135,24
3;CT;2h;M;51,59607843;133,31
3;CT;3h;M;55,7254902;128,71
4;CT;0h;M;43,77647059;126,93
4;CT;1h;M;53,16470588;132,29
4;CT;2h;M;62,75686275;130,76
4;CT;3h;M;53,85490196;128,46
5;CT;0h;M;53,65882353;126,75
5;CT;1h;M;52,37647059;121,34
5;CT;2h;M;50,05098039;130,08
5;CT;3h;M;48,6;130,43
6;YOH;0h;M;55,74901961;130,55
6;YOH;1h;M;75,44313725;148,66
6;YOH;2h;M;88,18039216;141,26
6;YOH;3h;M;79,95686275;146,26
7;YOH;0h;M;61,56862745;136,7
7;YOH;1h;M;84,03921569;144,15
7;YOH;2h;M;86,27843137;155,17
7;YOH;3h;M;80,05490196;155,27
8;YOH;0h;M;54,1372549;136,5
8;YOH;1h;M;75,21960784;146,96
8;YOH;2h;M;81,09411765;146,61
8;YOH;3h;M;85,21176471;152,07
9;YOH;0h;M;43,24705882;128,42
9;YOH;1h;M;76,30588235;143,88
9;YOH;2h;M;72,82745098;144,36
9;YOH;3h;M;89,1254902;148,65
10;YOH;0h;M;52,80784314;121,99
10;YOH;1h;M;90,36470588;137,47
10;YOH;2h;M;73,96470588;142,76
10;YOH;3h;M;77,55686275;159,12
11;CT;0h;F;48,9372549;NA
11;CT;1h;F;65,43529412;NA
11;CT;2h;F;48,02745098;NA
11;CT;3h;F;68,41960784;NA
12;CT;0h;F;57,94901961;NA
12;CT;1h;F;46,34117647;NA
12;CT;2h;F;45,63529412;NA
12;CT;3h;F;66,05882353;NA
13;CT;0h;F;66,65098039;NA
13;CT;1h;F;65,07058824;NA
13;CT;2h;F;65,62745098;NA
13;CT;3h;F;63,98039216;NA
14;CT;0h;F;63,10980392;NA
14;CT;1h;F;60,88235294;NA
14;CT;2h;F;62,40392157;NA
14;CT;3h;F;60,95294118;NA
15;CT;0h;F;55,65882353;NA
15;CT;1h;F;57,47058824;NA
15;CT;2h;F;53,36862745;NA
15;CT;3h;F;53,37254902;NA
16;YOH;0h;F;58,40392157;NA
16;YOH;1h;F;83,35294118;NA
16;YOH;2h;F;84,21176471;NA
16;YOH;3h;F;86,81568627;NA
17;YOH;0h;F;61,41176471;NA
17;YOH;1h;F;89,14509804;NA
17;YOH;2h;F;93,14509804;NA
17;YOH;3h;F;83,67058824;NA
18;YOH;0h;F;67,37254902;NA
18;YOH;1h;F;87,96862745;NA
18;YOH;2h;F;82,54509804;NA
18;YOH;3h;F;82,83137255;NA
19;YOH;0h;F;61,81568627;NA
19;YOH;1h;F;75,54117647;NA
19;YOH;2h;F;76;NA
19;YOH;3h;F;91,61960784;NA
20;YOH;0h;F;58,4745098;NA
20;YOH;1h;F;82,70196078;NA
20;YOH;2h;F;83,48627451;NA
20;YOH;3h;F;82,34117647;NA
