locality;site;Riqueza_obs;Riqueza_HB;Bsc;Dne;Dnm;Dnn;Dns;Hal;Hra;Lfu;Lla;Lpo;Eun;Pce;Pcu;Pfa1;Ppa;Sfm;Sfv;Ebi;Esp;hydrop;hydrop2;vegcov;nveg;fish;area;area2;depth;forcov;forcov2;forcov10;dfrag;dfrag2;dwater;dwater2;X;Y
MAC;MacAc1;3;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;-2.553590;-2.235730;-1.461851;-1.965130;-1.508310;-2.418270;-1.884470;-1.232668;-0.604596;-0.672774;-6.045965;0.410084;0.166782;1.198175;1.166645;-49.937600;-20.740800
MAC;MacAc2;11;13;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;0;1;0;0.573255;0.606300;-1.145775;-0.158114;0.646419;0.147353;0.019560;0.821168;-0.020849;-0.152952;-0.208489;-0.097045;-0.381401;0.970207;0.864035;-49.935300;-20.741000
MAC;MacAc3;10;12;1;0;0;0;0;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0.573255;0.606300;-0.987737;-1.061622;-1.508310;-0.564022;-0.699829;-0.704539;-0.013816;-0.146124;-0.138159;-1.242271;-1.059858;-0.121245;-0.299232;-49.934800;-20.741900
MAC;MacAc4;10;13;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0.573255;0.606300;0.908718;-0.158114;0.646419;-0.348279;-0.497176;0.821168;-0.171663;-0.296136;-1.716633;-1.242271;-1.059858;-0.087507;-0.270350;-49.933400;-20.746200
MAC;MacAc5;3;6;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;-2.553590;-2.235730;-1.461851;-1.965130;-1.508310;-2.315159;-1.844802;-1.306019;0.203364;0.071358;2.033643;-0.471888;-0.688845;0.162610;-0.042156;-49.927000;-20.745300
MAC;MacBr1;9;12;0;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;1;0.573255;0.606300;1.382832;-0.158114;-1.508310;-0.601947;-0.734057;-1.306019;0.203364;0.071358;2.033643;-1.242271;-1.059858;-0.121245;-0.299232;-49.927100;-20.745100
NOV;NovBr1;2;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.573255;0.606300;1.382832;0.745394;0.646419;1.556190;1.877820;-0.645858;0.562496;0.459151;5.624958;1.307931;1.510271;-0.087507;-0.270350;-49.274200;-21.518700
NOV;NovBr2;8;11;0;0;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0.573255;0.606300;1.698908;1.648902;0.646419;-0.255774;-0.406145;-0.205750;-0.157193;-0.282666;-1.571928;1.557264;1.967926;-1.355308;-1.045428;-49.330300;-21.528200
NOV;NovRe2;9;12;0;0;0;1;1;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0.573255;0.606300;-0.829699;0.745394;0.646419;0.875432;0.907959;1.554680;-0.793258;-0.820946;-7.932582;0.479895;0.254153;0.113584;-0.088840;-49.308400;-21.502400
NOV;NovRe3;8;11;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0.573255;0.606300;0.118528;1.648902;0.646419;1.295467;1.490478;1.554680;-0.397977;-0.499384;-3.979765;0.966774;0.943632;-0.193952;-0.359939;-49.317900;-21.514800
PIN;PinAc1;6;8;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;-1.511308;-1.667324;-1.145775;-1.061622;-1.508310;-1.846249;-1.625475;-1.232668;0.022087;-0.111058;0.220865;-0.192341;-0.467438;1.560877;1.690588;-48.921400;-21.227300
PIN;PinBr1;4;7;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0.573255;0.606300;0.434604;0.745394;0.646419;-0.663556;-0.788769;-1.159317;-0.023489;-0.155512;-0.234886;-1.242271;-1.059858;-1.355308;-1.045428;-48.920600;-21.222700
PIN;PinRe1;8;10;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0.573255;0.606300;0.118528;0.745394;0.646419;0.178500;0.054415;-0.499155;-0.527358;-0.609318;-5.273582;0.199565;-0.079241;0.033809;-0.162766;-48.918600;-21.229200
PIN;PinRe2;8;11;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0.573255;0.606300;-0.513623;1.648902;0.646419;0.567252;0.513137;1.554680;0.195744;0.063509;1.957436;0.435948;0.198815;0.033809;-0.162766;-48.923200;-21.229700
PIN;PinRe3;6;9;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0.573255;0.606300;-1.303813;-0.158114;0.646419;1.596603;1.939626;1.554680;0.795472;0.729492;7.954719;-1.242271;-1.059858;-1.355308;-1.045428;-48.925800;-21.225200
PLAN;PlanAc1;17;18;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;-0.469027;-0.719981;-0.197547;-1.061622;-1.508310;0.007612;-0.133349;-0.499155;0.369590;0.246486;3.695897;0.545065;0.338315;0.540419;0.349579;-49.987700;-20.999300
PLAN;PlanAc2;15;17;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;-0.469027;-0.719981;1.066756;-0.158114;0.646419;-0.071058;-0.216939;-0.352453;0.933703;0.896875;9.337031;-1.242271;-1.059858;0.273651;0.067104;-49.986900;-21.001700
PLAN;PlanRe1;13;15;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0.573255;0.606300;-0.197547;0.745394;0.646419;0.717580;0.702284;0.821168;0.622540;0.527413;6.225403;-1.242271;-1.059858;-1.355308;-1.045428;-49.979300;-20.992500
PLAN;PlanRe2;8;11;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0.573255;0.606300;1.382832;0.745394;0.646419;0.495731;0.425450;0.381060;1.158991;1.180819;11.589915;-1.242271;-1.059858;-1.355308;-1.045428;-49.985900;-21.004900
PLAN;PlanRe3;10;13;1;0;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0.573255;0.606300;1.382832;-0.158114;0.646419;1.188100;1.336704;0.087655;0.984490;0.959679;9.844904;-1.242271;-1.059858;-1.355308;-1.045428;-49.984900;-21.007100
