"","DISDEC","ED400","AREA400","MEASH400","SHDI400","FIRE400","MEAD400","HEAT400","YPIN400","MPIN400","DECI400"
"3",24.92,182.9811,3.3355,1.8975,2.1477,12.2146,0,5.8362,42.1964,14.5306,11.269
"4",583.69,122.4204,5.0033,1.7089,1.3335,11.1752,0,0,76.7001,4.1635,4.2048
"6",24.92,173.4373,4.5484,1.848,1.5504,7.6775,0,8.2684,43.6829,37.1134,1.3017
"7",437.73,156.2484,5.0033,2.1107,1.3125,5.3628,0,2.5321,81.4683,6.6244,0.9182
"9",487.95,125.6183,3.5738,1.6392,0.6166,1.5665,0,0,0.0325,90.4375,1.3179
"10",139.54,182.7812,2.7796,1.7956,1.0812,5.5664,0,0.5621,22.8551,63.6761,2.1036
"12",692.29,170.8889,5.0033,2.2286,1.3331,2.5346,0,29.3959,62.9029,0,0
"13",596.99,196.4223,3.5738,2.5656,1.29,7.7999,0,13.3513,69.4111,1.885,0
"14",625.39,181.3321,2.9431,1.9485,1.5429,13.816,0,0,42.42,33.6669,0
"15",73.62,152.5182,3.4446,1.8419,1.8221,0,0,27.9012,13.8352,40.4197,10.5239
"18",160.67,146.2549,4.1694,1.7947,1.0352,2.3435,0,0,0,89.4631,1.5652
"19",161.12,165.1427,2.5016,1.7057,1.291,3.3216,0,16.6304,0.6196,69.5523,3.409
"21",370.87,138.41,3.5738,1.7732,0.7275,3.6801,0,83.041,6.1822,3.3228,0
"22",370.87,132.8636,2.9431,1.6827,1.1448,5.8812,0,46.521,41.1095,0,1.158
"23",271.07,205.4165,2.2742,1.856,1.3495,20.1007,0,0,30.1229,42.0652,3.9199
"24",146.6,224.9038,1.5635,1.917,1.3142,19.2525,0,0,22.2255,50.0175,4.4871
"25",415.66,235.1971,1.7253,2.1084,1.7089,9.3702,0,0,40.2888,37.3345,7.6113
"27",316.01,208.4645,3.8487,3.1097,1.3528,0,0,47.2181,14.4419,26.2492,7.244
"28",393.24,154.0499,2.7796,2.3023,0.9948,0,0,47.4367,2.286,45.4879,3.549
"29",426.26,217.1588,2.3825,1.8896,1.782,4.4746,0,34.4176,3.2454,40.1002,5.1154
"30",231.14,140.8085,4.1694,1.6717,1.4235,4.5558,0,35.9429,0,49.4891,1.9662
"31",84.47,178.7838,2.6333,1.9659,1.6878,3.825,0,10.031,0.3785,61.4675,6.0573
"32",208.5,210.2134,2.3825,2.0497,1.8081,4.1373,0,10.0435,14.2857,47.8226,6.3958
