Sp;LA;SLA;LDMC;LN15;LCC
sp1;22.201;5.393;257.969;3.21;432.68
sp2;27.803;3.642;194.628;6.257;281.276
sp3;14.96;9.524;236.038;5.051;468.355
sp5;30.828;15.949;244.372;-0.421;450.266
sp6;50.863;4.505;315.679;-1.904;463.876
sp7;286.552;8.619;201.724;3.193;450.805
sp8;182.924;20.532;119.861;7.623;389.473
sp9;629.033;15.377;143.187;3.34;393.802
sp10;17.82;26.6;247.82;4.549;419.162
sp11;55.044;3.751;301.926;8.052;404.56
sp12;14.048;5.933;325.822;1.669;443.315
sp13;3.643;9.843;209.086;4.929;420.098
sp14;35.037;13.796;178.776;-0.4;462.883
sp15;37.975;8.975;306.213;10.228;419.355
sp17;10.163;8.379;154.654;5.182;403.914
sp18;430.583;1.906;598.311;-1.167;462.227
sp19;9.744;8.334;210.496;3.841;458.277
sp20;25.373;11.74;231.553;4.023;405.811
sp21;76.946;20.456;139.723;3.147;433.548
sp22;4.296;12.278;227.964;3.833;426.892
sp23;71.477;11.13;270.938;2.336;408.617
sp24;78.794;13.624;235.067;1.997;420.955
sp25;25.448;10.468;234.652;3.026;433.149
sp27;2.255;5.392;279.853;10.324;425.468
sp28;3.851;3.513;301.856;6.186;401.162
sp29;23.231;4.51;158.147;5.936;294.205
sp30;6.978;14.85;311.852;-0.157;457.671
sp31;9.564;10.946;159.904;3.021;369.946
sp32;40.091;10.578;358.145;2.499;455.474
sp33;18.449;4.445;432.189;4.48;432.073
sp34;29.501;4.86;410.76;3.689;433.906
sp35;21.275;3.577;441.302;0.17;448.661
