Numero	Sex	SVL	Intact_tail_length	Autotomized_tail_length	Tail_state
2	Male	20.7	NA	12.88	0
3	Male	21.1	NA	13.07	0
6	Female	23.72	NA	17.56	0
9	Male	18.84	17.38	NA	1
21	Male	22.2	NA	16.5	0
22	NA	20.59	NA	12.46	0
24	NA	17.5	13.9	NA	1
25	NA	17.9	13	NA	1
26	NA	13	8	NA	1
27	NA	13	8	NA	1
28	NA	17.9	13	NA	1
29	NA	17.5	13.9	NA	1
32	Male	19.86	NA	13.62	0
34	NA	22.3	NA	16.7	0
48	Male	21.32	NA	17.86	0
50	Female	22.8	18.66	NA	1
53	NA	13.32	11.31	NA	1
58	NA	19.04	18.3	NA	1
63	NA	20.45	16.9	NA	1
69	NA	13.02	17.42	NA	1
70	NA	22.65	NA	16.75	0
87	NA	23.83	19.82	NA	1
88	NA	15.65	21.11	NA	1
91	NA	23.59	NA	16.75	0
92	NA	22.37	NA	14.23	0
104	Female	21.61	NA	2.97	0
107	Female	21.99	NA	16.84	0
115	Male	18.35	NA	11.3	0
119	Male	21.9	17.83	NA	1
128	NA	21	NA	13	0
129	NA	13	10	NA	1
130	NA	20	NA	15	0
132	NA	20	NA	15	0
145	NA	21	20	NA	1
152	NA	23	18.5	NA	1
165	Female	23.65	19.98	NA	1
166	Male	19.92	NA	2.75	0
168	Female	23.07	19.56	NA	1
174	Female	22.44	NA	13.67	0
180	NA	23	18	NA	1
183	NA	22	19	NA	1
195	NA	23	NA	3	0
197	NA	22	17	NA	1
199	NA	21	NA	14	0
212	NA	21	NA	8	0
214	NA	23	19	NA	1
220	Female	23	NA	6.04	0
223	Female	24.43	NA	17.44	0
225	Male	22.16	NA	16.31	0
231	Female	17.54	NA	7.78	0
232	Male	20.76	NA	10.29	0
241	NA	12.69	10.92	NA	1
243	Female	21.82	NA	2.11	0
246	Female	24.64	NA	2.89	0
253	Female	24.08	NA	11.75	0
254	Male	21.83	20.7	NA	1
257	Male	22.52	NA	16.19	0
259	NA	20.92	NA	6.72	0
265	Male	21.09	NA	10.22	0
266	Male	20.21	17.94	NA	1
271	Female	22.99	18.44	NA	1
272	Female	23.8	NA	13.06	0
274	Female	22.38	19.68	NA	1
278	Male	18.82	NA	11.57	0
279	Female	17.45	15.62	NA	1
280	Male	21.94	NA	3.81	0
281	NA	12.6	9.65	NA	1
282	Male	19.9	17.61	NA	1
284	Male	17.5	16.53	NA	1
285	NA	12.31	NA	2.44	0
286	Male 	20.38	NA	4.05	0
287	Female	22.17	18.63	NA	1
288	Female	22.02	18.9	NA	1
290	Male	20.25	17.78	NA	1
291	Male	20.76	NA	7.96	0
294	Male	21.72	19.47	NA	1
301	Male	23.11	19.71	NA	1
304	Male	19.78	16.07	NA	1
307	Male	21.78	18.64	NA	1
309	Female	23.42	NA	17.24	0
310	Male	18.84	NA	9.57	0
311	NA	10.79	NA	3.57	0
320	Female	18.91	12.83	NA	1
321	Female	23.62	NA	14.25	0
323	Male	21.18	NA	13.92	0
324	Female	17.05	11.29	NA	1
329	Female	17.23	13.82	NA	1
330	Female	24.21	19.94	NA	1
331	Male	21.41	29.47	NA	1
333	NA	11.42	NA	6.22	0
334	NA	12.17	NA	1.66	0
339	Female	20.03	NA	11.13	0
358	NA	20.77	NA	15.3	0
363	Female	17.57	12.23	NA	1
364	Female	20.52	NA	6.86	0
366	Male 	20.76	18.21	NA	1
367	Female	21.84	NA	1.43	0
375	Male	18.48	NA	7.95	0
377	Male	23.73	NA	3.94	0
388	Male	21.45	NA	9.78	0
391	Male	21.87	NA	3.05	0
396	Male	21.96	NA	3.72	0
397	Female	18.78	15.46	NA	1
399	Male	21.61	NA	10.76	0
400	Female	23.24	NA	5.52	0
401	NA	19.74	16.69	NA	1
406	Male	20.51	18.36	NA	1
407	Female	21.74	NA	7.63	0
409	Male	19.44	NA	5.75	0
410	NA	19.27	NA	5.64	0
413	NA	23.48	18.55	NA	1
414	NA	25.3	NA	3.69	0
415	Female	22.34	17.28	NA	1
416	NA	13.06	12.54	NA	1
419	NA	15.44	14.6	NA	1
420	NA	14.74	10.54	NA	1
432	NA	16.26	12.95	NA	1
433	Female	23.29	NA	15.33	0
436	Female	25.06	NA	12.37	0
437	Female	24.7	NA	6.74	0
441	Male	22.84	NA	2.45	0
446	Male	21.05	NA	14.1	0
447	Male	13.67	10.42	NA	1
448	Male	14.8	13.71	NA	1
450	Female	20.29	NA	4.44	0
451	Female	22.2	19.25	NA	1
455	Female 	19.38	NA	4.31	0
460	Female	25.16	NA	12.42	0
464	Female	24.08	20.17	NA	1
465	NA	16.3	15.62	NA	1
466	NA	20.33	NA	3.51	0
467	NA	18.73	17.71	NA	1
474	Female	18.9	14.82	NA	1
478	Male	20.01	NA	15.77	0
487	NA	20.22	NA	14.19	0
490	Female	22.2	NA	4.75	0
493	Male	21.47	NA	7.53	0
494	Male	21.28	NA	2.83	0
497	Male	21.37	NA	2.99	0
504	Male	19.74	17.69	NA	1
505	Male	22.08	NA	6.69	0
507	NA	16.89	13.79	NA	1
508	Male	20.94	18.37	NA	1
510	Female	19.83	17.95	NA	1
511	Male	18.76	16.53	NA	1
515	Male	21.42	NA	15.25	0
516	Female	20.69	17.22	NA	1
517	Male	22.44	20.61	NA	1
518	Male	21.19	17.35	NA	1
525	Male	18.51	15.39	NA	1
526	Female	21.18	18.23	NA	1
528	Female	22.63	19.77	NA	1
531	NA	17.4	15.38	NA	1
532	NA	14.06	12.52	NA	1
533	NA	14.11	12.92	NA	1
534	Male	21.63	19.28	NA	1
537	Male	21.76	NA	13.91	0
542	Female	22.48	20.12	NA	1
556	Female	21.77	17.33	NA	1
559	Female	22.46	20.03	NA	1
564	Female	17.94	14.71	NA	1
566	Female	23.47	NA	6.63	0
570	Female	23.59	21	NA	1
574	NA	19.6	16.36	NA	1
577	Male	18.35	16.76	NA	1
578	Female	16.27	14.42	NA	1
579	NA	14.19	13	NA	1
580	Female	19.44	NA	7.75	0
581	NA	12.65	NA	2.58	0
587	Female	20.01	NA	15.09	0
589	Male	20.43	NA	2.61	0
591	Female	19.88	NA	11.98	0
592	Female	21.3	NA	10.19	0
593	Female	24.15	NA	10.23	0
594	NA	20.95	NA	15.03	0
596	NA	19.9	18.31	NA	1
597	Male	19.81	NA	12.2	0
600	Female	22.41	NA	16.92	0
603	Male	21.96	18.62	NA	1
604	NA	20	18.51	NA	1
606	NA	21.38	NA	3.08	0
607	NA	18.47	NA	4.11	0
610	Female	22.76	NA	2.27	0
611	Female	21.21	NA	16.27	0
614	NA	14.83	10.44	NA	1
615	NA	16.27	15.96	NA	1
619	NA	13.82	11.32	NA	1
620	NA	14.55	NA	9.69	0
621	NA	12.87	10.05	NA	1
624	Male	20.64	NA	2.68	0
626	Female	22.02	NA	15.88	0
627	Female	23.49	NA	17.95	0
628	Female	24.67	18.45	NA	1
630	Female	22.86	18.8	NA	1
631	NA	15.16	12.47	NA	1
