	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp19.1	sp20	sp21	sp22
conect1	5	0	8	5	1	1	0	1	0	5	35	0	0	0	0	0	5	0	0	2	0	0	0
conect2	4	0	12	37	0	0	0	2	0	0	25	0	0	0	0	0	0	0	0	2	1	0	0
conect3	8	0	13	0	0	0	0	8	0	0	85	0	0	0	0	0	0	0	0	3	2	0	0
conect4	21	0	28	28	0	0	0	4	0	0	35	0	1	0	0	0	0	0	0	7	0	1	0
conect5	23	0	29	0	0	0	0	1	0	1	41	0	0	0	0	1	7	0	0	9	4	0	0
conect6	0	1	7	7	0	0	0	10	0	25	25	0	0	0	0	0	0	0	0	12	0	0	0
conect7	5	5	7	7	1	0	0	0	0	0	10	0	1	0	0	0	0	6	0	18	0	0	0
conect8	18	8	23	0	0	0	1	0	0	0	5	1	0	0	0	0	10	0	0	0	2	0	0
isol1	0	1	4	0	0	0	0	0	0	0	5	0	0	1	0	0	0	2	1	8	0	0	0
isol2	0	8	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	31	0	0
isol3	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	21	0	0
isol4	1	5	7	0	0	0	0	0	1	0	8	0	0	0	0	0	5	0	4	1	27	0	1
isol5	0	8	6	6	0	0	1	0	1	1	9	0	0	0	1	1	0	0	18	0	23	0	0
isol6	0	28	6	6	0	0	0	1	0	2	12	0	0	1	0	0	0	0	22	0	12	0	0
isol7	1	0	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	8	0	0
isol8	5	5	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5	0	0
