	BP4	PP4	PP3	AP1	AP2	PP1	PP2	BP9	PT1	PT2	PT3	BP2	PT5
Aper	0	3	0	0	2	0	0	0	0	0	0	181	0
Bahe	859	14	14	0	87	312	624	641	0	0	0	14	0
Rict	1772	1517	207	573	796	0	0	0	0	0	0	0	0
Cleuco	0	0	0	0	0	0	0	0	0	29	369	0	84
Dmic	0	0	6	60	4	0	0	0	2758	319	25	0	329
Dmin	0	84	344	1045	90	0	0	0	8	0	0	0	0
Hpoly	61	275	388	1054	3002	329	76	14	2	0	0	309	0
Lfur	3	0	0	0	0	0	0	0	0	0	0	31	0
Pbar	387	187	0	0	0	0	0	0	0	0	0	446	0
Polf	0	0	0	0	2	0	0	0	78	0	0	0	0
Pmelano	0	0	0	0	0	0	0	47	0	0	0	0	0
Sduar	0	1150	428	476	7	0	0	0	0	0	0	0	0
Shay	0	6	0	92	0	0	0	0	6867	62	0	0	0
Sobt	0	0	0	13	5	0	7	0	2	0	0	0	0
Ssqual	0	0	0	0	0	0	0	0	0	0	0	50	0
Bokerm	0	1	0	0	0	0	4	7	0	0	0	0	0
