	Especie	Sexo	CRC	Raillietiella_mottae
W124	Phyllopezus_pollicaris	F	61	3
W125	Phyllopezus_pollicaris	F	56	0
W127	Phyllopezus_pollicaris	M	61	0
W128	Phyllopezus_pollicaris	M	48	0
W129	Phyllopezus_pollicaris	F	40	0
W130	Phyllopezus_pollicaris	M	62	0
W131	Phyllopezus_pollicaris	F	40	0
W132	Phyllopezus_pollicaris	F	32	0
W137	Phyllopezus_pollicaris	M	69	0
W138	Phyllopezus_pollicaris	F	69	3
W139	Phyllopezus_pollicaris	F	69	0
W140	Phyllopezus_pollicaris	F	53	0
W141	Phyllopezus_pollicaris	F	42	0
W146	Phyllopezus_pollicaris	F	35	0
W149	Hemidactylus_agrius	F	49	0
W159	Phyllopezus_pollicaris	F	30	0
W160	Hemidactylus_agrius	M	48	0
W161	Hemidactylus_agrius	F	42	0
W162	Phyllopezus_pollicaris	M	56	0
W163	Phyllopezus_pollicaris	M	39	0
W165	Phyllopezus_pollicaris	M	61	0
W166	Phyllopezus_pollicaris	F	37	0
W167	Phyllopezus_pollicaris	M	72	0
W168	Phyllopezus_pollicaris	M	57	0
W171	Phyllopezus_pollicaris	M	73	0
W172	Phyllopezus_pollicaris	F	76	0
W173	Phyllopezus_pollicaris	F	79	0
W174	Phyllopezus_pollicaris	M	72	0
W175	Phyllopezus_pollicaris	F	80	0
W176	Phyllopezus_pollicaris	M	71	0
W177	Phyllopezus_pollicaris	F	66	0
W178	Phyllopezus_pollicaris	M	57	0
W179	Phyllopezus_pollicaris	F	52	0
W184	Phyllopezus_pollicaris	F	62	0
W185	Phyllopezus_pollicaris	F	48	0
W187	Phyllopezus_pollicaris	M	42	0
W188	Phyllopezus_pollicaris	M	73	0
W189	Phyllopezus_pollicaris	F	75	0
W190	Phyllopezus_pollicaris	M	68	0
W191	Phyllopezus_pollicaris	F	68	0
W192	Phyllopezus_pollicaris	F	62	0
W193	Phyllopezus_pollicaris	F	70	0
W194	Phyllopezus_pollicaris	F	64	0
W195	Phyllopezus_pollicaris	M	77	0
W196	Phyllopezus_pollicaris	F	76	0
W197	Phyllopezus_pollicaris	F	73	0
W198	Phyllopezus_pollicaris	M	64	0
W199	Phyllopezus_pollicaris	F	65	0
W200	Phyllopezus_pollicaris	F	64	0
W201	Phyllopezus_pollicaris	M	64	0
W202	Phyllopezus_pollicaris	F	61	0
W203	Phyllopezus_pollicaris	M	52	0
W204	Phyllopezus_pollicaris	M	63	0
W205	Hemidactylus_agrius	F	46	0
W208	Phyllopezus_pollicaris	F	56	0
W209	Phyllopezus_pollicaris	F	61	0
W210	Phyllopezus_pollicaris	F	65	0
W211	Phyllopezus_pollicaris	F	41	0
W212	Phyllopezus_pollicaris	F	42	0
W214	Hemidactylus_agrius	F	48	0
W215	Hemidactylus_agrius	M	46	0
W219	Phyllopezus_pollicaris	F	65	0
W220	Phyllopezus_pollicaris	M	64	0
W221	Phyllopezus_pollicaris	M	50	0
W227	Phyllopezus_pollicaris	M	63	0
W228	Phyllopezus_pollicaris	M	61	0
W229	Phyllopezus_pollicaris	F	59	0
W230	Phyllopezus_pollicaris	F	76	1
W231	Phyllopezus_pollicaris	M	61	0
W232	Phyllopezus_pollicaris	F	57	0
W233	Phyllopezus_pollicaris	F	65	0
W234	Phyllopezus_pollicaris	F	72	2
W263	Phyllopezus_pollicaris	F	61	0
W264	Phyllopezus_pollicaris	F	70	0
W265	Phyllopezus_pollicaris	F	71	0
W266	Phyllopezus_pollicaris	F	81	0
W267	Phyllopezus_pollicaris	M	77	0
W268	Phyllopezus_pollicaris	M	69	0
W269	Phyllopezus_pollicaris	M	69	0
W270	Phyllopezus_pollicaris	F	70	0
W271	Phyllopezus_pollicaris	F	64	0
W272	Phyllopezus_pollicaris	F	73	0
W273	Phyllopezus_pollicaris	M	64	0
W274	Phyllopezus_pollicaris	M	69	1
W275	Phyllopezus_pollicaris	M	70	0
W276	Phyllopezus_pollicaris	M	65	0
W277	Phyllopezus_pollicaris	M	54	0
W278	Hemidactylus_agrius	M	49	1
W279	Hemidactylus_agrius	F	46	0
W280	Hemidactylus_agrius	F	49	0
