,Coleta Campo,Colecoes Cientificas
Chiasmocleis_albopunctata,15,0
Dendropsophus_elianae,11,1
Dendropsophus_jimi,15,2
Dendropsophus_nanus,0,1
Dendropsophus_minutus,24,0
Dendropsophus_sanborni,0,1
Elachistocleis_cesari,3,0
Hypsiboas_albopunctatus,36,0
Hypsiboas_faber,3,0
Hypsiboas_lundii,2,0
Hypsiboas_prasinus,3,0
Itapotihyla_langsdorffii,13,0
Leptodactylus_fuscus,111,1
Leptodactylus_latrans,1,0
Leptodactylus_mystaceus,28,0
Leptodactylus_mystacinus,114,0
Physalaemus_centralis,0,10
Physalaemus_cuvieri,89,2
Physalaemus_marmoratus,2,0
Physalaemus_nattereri,85,0
Pseudis_paradoxa,0,2
Rhinella_ornata,72,1
Rhinella_schneideri,10,0
Scinax_fuscomarginatus,0,8
Scinax_fuscovarius,36,4
Scinax_similis,0,4
Trachycephalus_typhonius,2,0
