Municipio;CRC;Temperatura;Precipitacao
Acorizal;22.98815565;24.13;1228.2
Alpinopolis;22.9178754;20.09416667;1487.6
Alto_Paraiso;21.9762913;21.86166667;1812.4
Americana;23.32452534;20.28333333;1266.2
Apiacas;22.83651168;25.47333333;2154
Arianopolis;20.86989123;20.12166667;1269.2
Aripuana;24.28686817;24.49833333;1940.6
Atibaia;21.25542879;16.84666667;1460.4
Bairro_Alto;18.98987405;17.71583333;1784.2
Barra_do_Garças;25.37756674;25.30666667;1584.6
Bertioga;19.31109601;21.93645833;2548.5
Bocaina;20.61663551;20.62416667;1281.2
Bom_Jardim;22.5968644;14.27583333;1690.8
Bonito;22.38358914;23.6525;1361.8
Borba;22.98383255;18.4125;1376.4
Botucatu;22.13267139;19.20666667;1320
Brianorte;25.63333687;24.83666667;1956
Buri;24.26716147;19.62583333;1194.6
Campinas;20.88494546;19.315;1314.4
Campo_Grande_da_Serra;21.30670822;18.075;1570.6
Campo_Verde;24.54060062;22.57583333;1717.6
Campos_do_Jordao;19.73176863;14.35166667;1807.4
Carajas;24.69119482;25.48;1862.8
Carangola;18.88412047;19.97916667;1301.4
Carlos_Botelho;21.20319171;17.655;1370.4
Chapada_Damantina;23.61192326;20.64666667;656
Chapada_dos_Guimaraes;22.61132141;23.01833333;1553.2
Cianorte;24.25226416;20.615;1392
Conceiçao_da_Barra;19.57500558;24.07604167;1346.75
Corumbatai;21.9459066;19.98916667;1327
Costa_Rica;21.92937689;23.25583333;1586.4
Cruz_Machado;22.91026613;16.68;1686.4
Cunha;18.39016943;15.22;1740.6
Diamantina;22.79612811;24.36916667;1674.8
Eldorado;21.53262341;22.11916667;1541.6
Emas;22.07035039;20.82;1169.6
Ferraz_de_Vasconcelos;21.34150801;17.66833333;1519.8
General_Carneiro_MT;24.24068844;23.73416667;1555
General_Carneiro_PR;22.52714709;16.03916667;1694.2
Humaita;22.15159015;26.465;2193.4
Ibitipoca;17.63470915;18.04;1581
Ibiuna;20.12141506;17.22;1500.8
Icem;22.99429661;23.55916667;1270.8
Intervales;21.09071;17.61916667;1402.2
Iporanga;22.81890393;21.58666667;1441.6
Itanhaem;21.29178952;22.72166667;2141.2
Itanhanga;23.57695521;25.50916667;2128.6
Itapecerica_da_Serra;20.74673639;17.5225;1663.2
Itirapina;21.97101456;19.72333333;1370
Itu;19.59775842;19.52833333;1274.8
Jaboticatubas;19.00922573;21.1;1408
Jacareacanga;22.91147982;25.93416667;2305
Jureia;20.90550664;21.0625;1936.2
Lages;21.49883486;16.44666667;1452.4
Manaus;20.46371629;27.45416667;2156.6
Miracatu;21.36892334;21.70416667;1684.6
Monte_Alto;22.25566334;21.675;1323.2
Nobres;23.52074329;24.87166667;1515.8
Nova_Aliança;22.18330441;22.64;1173
Nova_Bandeirantes;23.49565524;25.16583333;2074.6
Nova_Friburgo;21.0767751;17.94833333;1422.2
Nova_Lima;23.4559079;20.21416667;1438.8
Nova_Maringa;24.77271717;25.19916667;1963.6
Nova_Mutum;24.60688514;25.5;1926.8
Palestina;21.12675843;23.08916667;1236.2
Palmeiras;23.16976981;21.45166667;849.2
Paranaita;22.96721819;25.43;2293.8
Paranapiacaba;21.53566928;17.16083333;2810.6
Passos_Maia;20.01541453;16.23166667;2033.2
PESM_Santa_Virginia;19.28117307;17.34333333;1863.2
Petropolis;20.16380735;18.66166667;1871.8
Picinguaba;19.57796515;21.32166667;2201.2
Piraju;22.87093689;20.30083333;1265.4
Pirassununga;22.64363491;20.6375;1249.4
PN_Guimaraes;22.43550382;23.90416667;1393
Poços_de_Caldas;20.4375019;17.99916667;1680.2
Porto_dos_Gauchos;23.96373179;25.32;1989.8
Porto_Nacional;23.20726008;26.19583333;1622.2
Primavera_do_Leste;23.88607146;22.29833333;1773
Ribeirao_Branco;21.12957779;17.85083333;1350.2
Ribeirao_Grande;21.74494403;18.405;1295
Ribeirao_Pires;20.4536847;17.19;2048.2
Ribeirao_Preto;21.22771615;21.5225;1495.2
Rio_Brilhante;20.56854743;23.76916667;1442.6
Rio_Claro;21.40646539;20.18166667;1307.6
Santa_Maria_Madalena;19.82553219;19.04583333;1404.2
Santana_do_Parnaiba;21.72943632;18.265;1392.4
Santissima_Trindade;23.1625094;24.42916667;1359.6
Sao_Bernardo;21.98871281;17.73666667;1560.2
Sao_Caetano;20.2307068;18.16833333;1353
Sao_Francisco_de_Paula;23.65127638;15.72166667;2054.8
Sao_Jose_do_Rio Claro;24.29360279;25.40333333;1915.8
Sao_Jose_do_Rio_Preto;22.01851852;22.64333333;1261.4
Sao_Jose_dos_Pinhais;20.90780682;17.03916667;1295.2
Sao_Luis;23.26289532;27.09;1892.2
Sao_Paulo;20.97314762;18.5225;1354.6
Sao_Sebastiao;20.3359284;22.46041667;2425.25
Serra_da_Bocaina;19.3408287;14.285;1813
Tapurah;23.38074571;25.60666667;2006.4
Taubate;19.16742583;18.31;1469.2
Tiangua;23.22831152;21.96666667;1295.2
Tijucas_do_Sul;21.76303407;16.1825;1495.4
Tres_Marias;22.45418258;23.22166667;1231.6
Ubatuba;20.88353683;21.5975;2460
Uberlandia;21.20190608;21.51833333;1482.8
Vargem_Alta;19.5081016;20.8275;1229.4
Viçosa;18.75714939;20.15416667;1259.2
Vila_Paredao;23.68528184;22.7525;1682.2
Vitoria_Brasil;22.93436111;22.54833333;1187
