CRC;Estacao
3.82;Chuvosa
3.57;Chuvosa
3.67;Chuvosa
3.72;Chuvosa
3.75;Chuvosa
3.83;Chuvosa
3.85;Chuvosa
3.87;Chuvosa
3.93;Chuvosa
4.01;Chuvosa
4.04;Chuvosa
3.28;Chuvosa
3.64;Chuvosa
4.08;Chuvosa
4.12;Chuvosa
4.2;Chuvosa
3.45;Chuvosa
3.84;Chuvosa
3.87;Chuvosa
3.9;Chuvosa
3.92;Chuvosa
4.67;Chuvosa
2.91;Chuvosa
2.93;Chuvosa
3.34;Chuvosa
2.9;Chuvosa
3.17;Chuvosa
3.19;Chuvosa
3.04;Seca
3.12;Seca
3.14;Seca
3.22;Seca
3.91;Seca
3.95;Seca
2.85;Seca
2.86;Seca
2.94;Seca
3;Seca
3;Seca
3.06;Seca
3.24;Seca
3.28;Seca
3.39;Seca
3.57;Seca
3.01;Seca
3.16;Seca
3.48;Seca
3.48;Seca
3.49;Seca
3.51;Seca
3.3;Seca
